,City Name,Country,Date,Latitude,Longitude,Maximum Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH)
264,Inirida,CO,1553173576,3.87,-67.92,76.93,91,80,2.57
265,Cangzhou,CN,1553173577,38.3,116.85,42.64,41,0,6.38
266,Ardakan,IR,1553169600,32.31,54.02,66.2,16,20,2.24
267,Arlit,NE,1553173580,18.74,7.39,87.37,43,0,5.82
268,North Bend,US,1553173524,43.41,-124.22,48.99,100,90,5.82
269,Demyansk,RU,1553173583,57.64,32.46,45.25,72,12,12.97
270,Santiago,CL,1553173200,-33.44,-70.65,60.8,38,0,2.24
271,Kavaratti,IN,1553173586,10.57,72.64,83.32,100,0,5.7
272,Tutoia,BR,1553171520,-2.76,-42.27,80.6,74,90,6.93
273,San Jeronimo,PE,1553169600,-13.65,-73.37,44.6,52,75,1.68
274,Naryan-Mar,RU,1553173590,67.67,53.09,30.04,94,80,11.18
275,Hirara,JP,1553173591,24.8,125.28,76.21,95,92,15.66
276,Nome,US,1553173561,30.04,-94.42,55.0,93,1,5.26
277,Kodiak,US,1553173586,39.95,-94.76,33.01,87,1,4.7
278,Hun,BE,1553173547,50.34,4.87,60.01,50,20,2.24
279,Ossora,RU,1553173598,59.24,163.07,28.24,88,88,19.8
280,Lagoa,PT,1553173535,37.14,-8.45,69.01,52,20,18.34
281,Sur,OM,1553173602,22.57,59.53,76.12,85,24,7.38
282,Atherton,GB,1553173564,53.52,-2.49,59.0,93,75,9.17
283,Thap Than,TH,1553173601,15.46,99.89,95.0,59,8,0.45
284,Takoradi,GH,1553173607,4.89,-1.75,76.12,100,92,7.16
285,Palmerston,CA,1553173583,43.83,-80.85,36.0,93,90,4.7
286,Beckley,US,1553173573,37.78,-81.19,37.4,70,40,2.24
287,Staraya Kulatka,RU,1553173611,52.73,47.62,35.44,99,92,3.91
288,Mariestad,SE,1553173227,58.71,13.82,51.8,87,20,16.11
289,Kinablangan,PH,1553173613,7.69,126.55,80.26,100,100,7.38
290,Rome,IT,1553173339,41.89,12.48,73.0,32,0,10.29
291,Gambo,NG,1553173616,11.96,9.63,104.92,24,0,7.49
292,Banda Aceh,ID,1553173617,5.56,95.32,79.09,94,56,1.34
293,Penzance,GB,1553173510,50.12,-5.53,57.0,100,75,5.82
294,Namatanai,PG,1553173620,-3.66,152.44,83.86,95,68,8.39
295,Miri,NG,1553173621,10.31,9.75,94.3,39,20,1.9
296,Fort Saint James,CA,1553173623,54.43,-124.25,24.46,69,48,2.01
297,Formosa,AR,1553169600,-26.19,-58.17,66.2,77,0,13.87
298,Shingu,JP,1553173625,33.72,135.99,65.05,92,76,15.1
299,Tahoua,NE,1553169600,14.89,5.26,102.2,10,0,13.87
300,Kaeo,NZ,1553173384,-35.1,173.78,63.0,95,92,8.28
301,Griffith,AU,1553169600,-34.29,146.06,82.4,29,56,4.7
302,Guerrero Negro,MX,1553173631,27.97,-114.04,52.72,99,0,11.18
303,Tromso,NO,1553172600,69.65,18.96,39.2,69,75,12.75
304,Gimli,CA,1553173548,50.63,-96.99,35.01,93,0,5.99
305,Rio Grande,BR,1553169600,-32.03,-52.1,60.8,72,20,9.17
306,Carutapera,BR,1553173637,-1.2,-46.02,76.84,100,92,2.8
307,Porto Velho,BR,1553173638,-8.75,-63.87,77.74,90,76,3.13
308,Iskateley,RU,1553173639,67.68,53.15,29.68,92,80,10.18
309,Nanortalik,GL,1553173641,60.14,-45.24,23.29,100,44,35.9
310,Chulman,RU,1553173643,56.84,124.9,2.14,53,12,4.92
311,Bilibino,RU,1553173646,68.06,166.44,-14.52,42,64,2.35
312,Gigmoto,PH,1553173647,13.78,124.39,77.74,100,0,9.4
313,Fonte Boa,BR,1553173649,-2.51,-66.09,76.12,93,68,6.71
314,Basiad,PH,1553173650,14.16,122.34,80.08,92,0,12.19
315,Omsukchan,RU,1553173651,62.53,155.8,-20.37,27,24,2.57
316,Ola,RU,1553173653,59.58,151.3,13.75,100,80,10.96
317,Alice Springs,AU,1553171400,-23.7,133.88,82.4,21,0,6.93
318,Senanga,ZM,1553173655,-16.1,23.3,94.84,29,0,6.6
319,Melo,UY,1553173656,-32.37,-54.17,58.66,74,0,7.72
320,Teya,MX,1553173224,21.05,-89.07,70.0,88,75,2.35
321,Nara,JP,1553173404,34.68,135.8,66.0,100,75,9.17
322,Isangel,VU,1553169600,-19.55,169.27,75.2,88,76,3.36
323,Cartagena,ES,1553173484,37.63,-1.0,62.6,45,20,19.46
324,Kodinsk,RU,1553173664,58.6,99.18,27.16,70,76,4.59
325,Avera,US,1553173629,33.19,-82.53,45.0,100,1,3.13
326,Lagos,NG,1553169600,6.46,3.39,93.2,63,75,8.05
327,Shestakovo,RU,1553173669,56.49,103.96,20.32,62,20,4.36
328,Inhambane,MZ,1553173513,-23.87,35.38,85.48,73,20,9.73
329,Vila do Maio,CV,1553169600,15.13,-23.22,80.6,47,75,17.22
330,Wajir,KE,1553169600,1.75,40.07,100.4,33,75,6.93
331,Cascais,PT,1553173541,38.7,-9.42,64.99,67,20,9.17
332,Palmer,AU,1553173591,-34.85,139.16,70.0,77,40,5.82
333,Mansa,IN,1553171400,23.43,72.66,93.2,18,0,5.82
334,Bambous Virieux,MU,1553173442,-20.34,57.76,86.0,70,75,11.41
335,Yarmouth,GB,1553173627,50.71,-1.5,55.99,76,75,2.24
336,General Cepeda,MX,1553173504,25.38,-101.48,48.2,81,90,3.13
337,Kuryk,KZ,1553173683,43.18,51.68,51.1,86,48,8.72
338,Maine-Soroa,NE,1553173685,13.21,12.02,106.81,16,0,6.04
339,Mwinilunga,ZM,1553173686,-11.73,24.43,80.26,67,8,3.36
340,Sumbe,AO,1553169600,-11.2,13.84,87.8,95,75,5.82
341,Sobolevo,RU,1553173690,54.43,31.9,45.25,71,0,14.43
342,Waiouru,NZ,1553173692,-39.48,175.67,51.91,100,36,2.57
343,Jackson,US,1553173520,35.61,-88.82,44.01,91,1,4.7
344,Fujin,CN,1553173698,47.24,132.03,22.3,67,64,11.97
345,Garbolovo,RU,1553173535,60.34,30.5,46.4,79,20,15.66
346,Veracruz,VE,1553169600,7.66,-72.25,75.2,94,75,2.24
347,Lillehammer,NO,1553173413,61.11,10.47,53.01,58,0,1.99
348,Rapid Valley,US,1553173421,44.06,-103.15,36.0,64,1,2.91
349,Hastings,NZ,1553173704,-39.64,176.84,62.89,100,48,3.02
350,Borujerd,IR,1553169600,33.89,48.76,60.8,34,0,11.41
351,Kalmunai,LK,1553173708,7.42,81.82,82.87,78,36,7.72
352,Champerico,MX,1553169480,16.38,-93.6,68.0,82,5,4.7
353,Larsnes,NO,1553173503,62.2,5.58,44.6,96,0,8.05
354,Praia,BR,1553169600,-20.25,-43.81,69.8,88,75,8.05
355,Nantucket,US,1553173442,41.28,-70.1,44.01,65,1,13.87
356,Sisimiut,GL,1553173716,66.94,-53.67,-22.53,31,12,1.9
357,Comodoro Rivadavia,AR,1553173481,-45.87,-67.48,52.99,100,64,5.14
358,Muros,ES,1553173504,42.77,-9.06,62.01,51,0,3.36
359,Torbay,CA,1553173718,47.66,-52.73,37.0,58,20,17.22
360,Fort Nelson,CA,1553169600,58.81,-122.69,33.8,64,5,5.82
361,Pitimbu,BR,1553169600,-7.47,-34.81,86.0,74,75,8.05
362,Flinders,AU,1553173556,-34.58,150.85,68.0,100,75,4.7
363,Sorgun,TR,1553173725,39.81,35.19,49.48,69,0,11.41
364,Camocim,BR,1553173447,-2.9,-40.84,76.48,100,92,4.36
365,Itarema,BR,1553173727,-2.92,-39.92,78.55,100,76,4.36
366,Laguna,MX,1553173730,27.52,-110.01,52.54,72,12,2.24
367,Benghazi,LY,1553173731,32.12,20.07,65.5,89,0,8.39
368,Sorland,NO,1553170800,67.67,12.69,37.4,98,75,46.08
369,Gbadolite,CD,1553173734,4.28,21.0,98.26,38,8,3.24
370,Port Hardy,CA,1553169600,50.7,-127.42,33.8,86,20,2.24
371,Hoquiam,US,1553173650,46.98,-123.89,51.8,81,75,12.75
372,Satuk,TR,1553169000,41.23,32.38,52.0,66,40,16.11
373,Pemba,MZ,1553173513,-12.97,40.52,84.22,100,0,11.74
374,Mezen,RU,1553173740,65.85,44.24,34.27,77,68,3.69
375,Huancabamba,PE,1553173741,-5.24,-79.45,54.7,92,36,0.89
376,Alta Floresta,BR,1553173742,-9.87,-56.08,79.09,88,44,2.68
377,Anshun,CN,1553173744,26.25,105.93,63.43,49,44,4.59
378,Altay,CN,1553173745,47.83,88.13,20.5,93,0,2.01
379,Terney,RU,1553173746,45.05,136.61,27.52,99,88,29.86
380,Sioux Lookout,CA,1553169600,50.1,-91.92,30.2,80,5,6.93
381,Solnechnyy,RU,1553173749,50.72,136.64,13.84,67,76,5.26
382,Sao Paulo de Olivenca,BR,1553173750,-3.38,-68.87,73.69,97,92,3.8
383,Taoudenni,ML,1553173751,22.68,-3.98,88.09,14,56,6.15
384,Magadi,IN,1553173735,12.96,77.22,91.4,18,20,3.36
385,Makakilo City,US,1553173735,21.35,-158.09,71.6,68,90,3.36
386,Fuerte Olimpo,BR,1553173755,-21.04,-57.87,71.98,99,76,6.38
387,Severnoye,RU,1553173757,54.09,52.54,35.98,97,92,3.91
388,Singaraja,ID,1553173758,-8.11,115.08,75.94,95,88,0.22
389,Mandali,IQ,1553173759,33.75,45.55,68.92,40,0,6.38
390,Ganganagar,IN,1553173760,16.78,77.13,98.89,18,8,5.14
391,Cap Malheureux,MU,1553173741,-19.98,57.61,86.0,70,75,11.41
392,Tual,ID,1553173763,-5.67,132.75,84.94,96,8,12.75
393,Ahipara,NZ,1553173765,-35.17,173.16,66.04,97,20,8.5
394,Kirakira,SB,1553173766,-10.46,161.92,85.03,99,48,9.06
395,Iquique,CL,1553169600,-20.22,-70.14,66.2,63,0,4.03
396,Natal,BR,1553173200,-5.81,-35.21,87.8,66,75,11.41
397,Chemin Grenier,MU,1553173741,-20.49,57.47,86.0,70,75,11.41
398,Aleksandrovka,RU,1553173775,46.65,38.4,47.14,87,24,7.72
399,Porto Novo,BR,1553169600,-23.68,-45.44,68.0,94,75,3.36
400,Kaduna,NG,1553173777,10.52,7.44,94.3,45,12,10.96
401,Malanje,AO,1553169600,-9.54,16.35,84.2,79,75,5.82
402,Derzhavinsk,KZ,1553173780,51.1,66.31,41.29,86,8,5.59
403,Manuk Mangkaw,PH,1553173781,4.8,119.85,81.88,100,64,11.97
404,Sungaipenuh,ID,1553173782,-2.08,101.38,69.55,90,68,1.34
405,Half Moon Bay,US,1553173653,37.46,-122.43,48.99,87,40,2.68
406,Luis Correia,BR,1553171520,-2.88,-41.67,80.6,74,90,6.93
407,Guiratinga,BR,1553173787,-16.35,-53.76,74.95,96,88,4.81
408,Komsomolskiy,RU,1553173789,67.55,63.78,28.78,97,88,11.41
409,Malyn,UA,1553171400,50.77,29.25,46.4,52,75,11.18
410,Jaisinghnagar,IN,1553173791,23.63,78.57,88.36,23,0,9.95
411,Lazaro Cardenas,MX,1553173657,28.39,-105.62,55.0,60,56,2.91
412,Terebesti,RO,1553173223,47.68,22.72,54.0,34,0,3.36
413,Ojinaga,US,1553173258,29.56,-104.41,55.4,71,1,10.29
414,Moa,CU,1553173797,20.66,-74.95,68.02,98,0,2.13
415,Oranjemund,ZA,1553173709,-28.55,16.43,63.34,93,0,26.06
416,Whitley Bay,GB,1553173751,55.04,-1.44,63.0,67,20,17.22
417,Batagay-Alyta,RU,1553173801,67.8,130.41,-22.89,31,0,2.68
418,Skegness,GB,1553173802,53.14,0.34,60.01,67,75,9.17
419,Juan Lacaze,UY,1553173246,-34.43,-57.44,61.0,66,32,2.91
420,Necochea,AR,1553173613,-38.55,-58.74,63.0,55,12,3.0
421,Cairns,AU,1553173573,-16.92,145.77,73.4,88,90,11.41
422,Betare Oya,CM,1553173809,5.6,14.08,88.9,63,8,4.36
423,Joshimath,IN,1553173811,30.57,79.57,17.8,90,68,1.01
424,Luangwa,MZ,1553173812,-15.62,30.4,95.92,39,8,4.36
425,Port Arthur,US,1553173706,29.9,-93.93,51.8,100,1,5.26
426,Esperance,TT,1553173314,10.24,-61.45,82.99,69,20,9.17
427,Berdigestyakh,RU,1553173816,62.1,126.7,-11.19,36,0,1.23
428,Kjollefjord,NO,1553169000,70.95,27.35,33.8,80,20,16.11
429,The Pas,CA,1553169600,53.82,-101.24,35.6,69,1,8.05
430,Luganville,VU,1553173821,-15.51,167.18,81.43,100,44,8.05
431,De Aar,ZA,1553173822,-30.65,24.01,83.59,25,0,5.14
432,Moree,AU,1553173206,-29.46,149.84,80.6,32,44,10.29
433,Grand Gaube,MU,1553173741,-20.01,57.66,86.0,70,75,11.41
434,Rio Gallegos,AR,1553169600,-51.62,-69.22,48.2,81,75,4.7
435,Agadez,NE,1553169600,16.97,7.99,100.4,12,0,16.11
436,Monopoli,IT,1553173816,40.95,17.3,66.2,67,0,16.11
437,Vestmanna,FO,1553172600,62.16,-7.17,41.0,86,75,16.11
438,Altoona,US,1553173824,40.52,-78.39,39.99,80,90,3.36
439,Vao,EE,1553173833,59.1,26.19,40.39,87,36,9.17
440,Vieques,PR,1553173828,18.43,-65.83,80.01,65,40,9.17
441,Hofn,IS,1553169600,64.25,-15.21,37.4,59,75,12.75
442,Ormond Beach,US,1553173621,29.29,-81.06,59.0,76,20,4.7
443,Qaqortoq,GL,1553170800,60.72,-46.03,21.2,67,75,20.8
444,Weyburn,CA,1553173467,49.67,-103.85,28.99,89,0,1.01
445,Alugan,PH,1553173841,12.22,125.48,76.66,95,0,8.72
446,Rawson,AR,1553173665,-43.3,-65.11,53.89,38,44,12.75
447,Kushiro,JP,1553173844,43.11,144.15,35.26,95,100,2.91
448,Hearst,CA,1553173845,49.69,-83.67,22.48,84,48,7.27
449,Pevek,RU,1553173846,69.7,170.27,-18.39,53,24,3.24
450,Anahuac,US,1553173825,29.77,-94.68,59.0,93,1,4.7
451,Zabaykalsk,CN,1553173849,49.64,117.33,21.31,27,56,6.82
452,Namibe,AO,1553169600,-15.19,12.15,91.4,49,20,13.87
453,Callaguip,PH,1553169600,18.07,120.49,80.6,83,75,9.17
454,Santa Cruz,US,1553173827,36.97,-122.03,46.0,100,1,5.82
455,Kenai,US,1553173624,60.55,-151.26,41.0,88,1,6.93
456,Verkhnyaya Inta,RU,1553173858,65.99,60.32,29.77,77,88,6.82
457,Pangkalanbuun,ID,1553173859,-2.68,111.62,75.94,95,56,1.23
458,Majene,ID,1553173860,-3.54,118.97,82.87,97,12,10.74
459,Soyo,AO,1553169600,-6.13,12.37,89.6,35,20,9.17
460,Paducah,US,1553173627,37.08,-88.6,43.0,93,40,9.17
461,Tocopilla,CL,1553173864,-22.09,-70.2,58.39,100,44,2.8
462,Ardesen,TR,1553169600,41.19,40.99,50.0,66,75,6.93
463,Sao Jose da Coroa Grande,BR,1553173867,-8.9,-35.15,85.21,84,20,9.4
464,Raudeberg,NO,1553173804,61.99,5.14,42.8,87,75,6.93
465,Canakkale,TR,1553169000,40.15,26.41,55.4,76,40,23.04
466,Zhifang,CN,1553169600,30.35,114.31,46.4,81,90,20.13
467,Matara,PE,1553169600,-13.74,-72.9,44.6,52,75,1.68
468,Baffa,PK,1553173876,34.44,73.22,55.78,75,36,2.35
469,Gamba,CN,1553173878,28.28,88.52,14.92,77,0,7.49
470,Sao Joao da Barra,BR,1553169600,-21.64,-41.05,82.4,65,20,6.93
471,Kamyshla,RU,1553173880,54.11,52.14,35.89,96,92,3.69
472,Yeppoon,AU,1553171400,-23.13,150.74,77.0,88,0,3.36
473,Wagar,US,1553173874,31.44,-87.99,48.0,85,0,6.15
474,Fort Dodge,US,1553173628,42.5,-94.17,33.01,82,1,12.75
475,Cabedelo,BR,1553169600,-6.97,-34.84,86.0,74,75,8.05
476,Asyut,EG,1553169600,27.18,31.19,78.8,29,0,6.93
477,Coxim,BR,1553173757,-18.5,-54.75,73.87,97,76,4.59
478,Kahului,US,1553173846,20.89,-156.47,66.99,82,1,4.7
479,Merauke,ID,1553173891,-8.49,140.4,83.86,83,44,13.87
480,Esmeraldas,BR,1553169600,-19.76,-44.31,69.8,94,75,6.93
481,Yueyang,CN,1553173894,29.36,113.12,50.47,99,92,19.69
482,Biak,ID,1553173895,-0.91,122.88,84.58,77,88,3.36
483,Bahir Dar,ET,1553173897,11.59,37.39,80.62,45,12,7.72
484,Sokoto,NG,1553173901,13.06,5.24,102.58,22,0,6.38
485,Coruripe,BR,1553173902,-10.12,-36.18,77.74,100,80,5.7
486,Sulangan,PH,1553173903,11.14,123.72,83.59,93,12,12.97
487,Harlingen,US,1553173590,26.19,-97.7,62.6,93,75,4.7
488,Najran,SA,1553169600,17.54,44.22,95.0,15,0,13.87
489,Belyy Yar,RU,1553171400,53.6,91.39,33.8,37,0,2.24
490,Whitehorse,CA,1553173422,60.72,-135.06,41.0,60,20,16.11
491,Ulladulla,AU,1553173275,-35.36,150.48,68.0,100,75,4.7
492,Dukat,RS,1553173791,42.44,22.31,55.99,48,56,7.0
493,Brae,GB,1553170800,60.4,-1.35,48.2,57,20,18.34
494,Hambantota,LK,1553170200,6.12,81.12,86.0,79,40,9.17
495,Caucaia,BR,1553173694,-3.73,-38.66,86.0,74,40,6.93
496,Suntar,RU,1553173919,62.16,117.65,2.23,67,0,2.57
497,Zyryanka,RU,1553173921,65.73,150.89,-15.6,46,0,4.14
498,Loutros,GR,1553173921,40.59,22.4,66.0,48,40,9.17
499,Juneau,US,1553172780,58.3,-134.42,41.0,86,90,4.7
500,Nathdwara,IN,1553171400,24.93,73.82,86.0,19,40,6.93
501,Muswellbrook,AU,1553172607,-32.27,150.89,70.0,92,12,4.47
502,Mogadishu,SO,1553169600,2.04,45.34,87.8,62,20,16.11
503,Strezhevoy,RU,1553171400,60.73,77.6,35.6,51,40,13.42
504,Te Anau,NZ,1553173930,-45.41,167.72,53.26,90,32,2.24
505,Aklera,IN,1553173931,24.41,76.57,88.72,18,0,8.61
506,Nizwa,OM,1553173933,22.93,57.53,88.99,15,0,5.59
507,Catuday,PH,1553173934,16.29,119.81,81.16,86,12,7.61
508,Watsa,CD,1553173935,3.04,29.53,90.88,56,0,4.92
509,Panguna,PG,1553173937,-6.32,155.48,75.49,91,36,2.57
510,Barmer,IN,1553173938,25.74,71.4,90.7,18,48,4.59
511,Bend,US,1553173889,44.06,-121.32,41.0,86,90,3.36
512,Viedma,AR,1553173769,-40.81,-62.99,52.45,68,8,12.75
513,Pocone,BR,1553173942,-16.26,-56.62,74.41,98,92,6.6
514,Atasu,KZ,1553173944,48.68,71.64,39.58,86,32,3.69
515,Grindavik,IS,1553171820,63.84,-22.43,37.4,59,75,24.16
516,Madang,PG,1553173948,-5.21,145.81,76.39,99,36,3.36
517,Fandriana,MG,1553173950,-20.24,47.38,69.91,88,68,3.47
518,Cacu,BR,1553173675,-18.56,-51.13,71.8,96,68,5.93
519,Karratha,AU,1553173723,-20.74,116.85,91.42,48,8,14.43
520,Hollola,FI,1553173758,60.99,25.5,48.0,71,56,1.99
521,Nioro,GM,1553173956,13.79,-15.05,90.97,33,0,7.38
522,Tonstad,NO,1553173699,58.66,6.71,46.99,93,75,12.75
523,Kibala,TD,1553169600,9.11,18.35,105.8,16,0,6.93
524,Kupang,ID,1553171400,-10.16,123.6,80.6,78,20,3.36
525,Rezh,RU,1553173962,57.37,61.4,38.05,86,76,5.7
526,Cameron Park,US,1553173941,38.68,-120.99,46.99,100,90,2.35
527,Kaduy,RU,1553171400,59.2,37.15,33.8,92,90,6.71
528,Puerto Carreno,CO,1553169600,6.19,-67.49,84.2,79,75,2.13
529,Boyolangu,ID,1553173969,-8.09,111.9,73.78,95,92,2.46
530,Moindou,NC,1553171400,-21.69,165.68,75.2,83,0,4.7
